idade,bairro,produto,descricao,marca,estado,pontuacao
62,Pacaembu,micro-ondas,unde,LG,funciona,100
18,Pacaembu,Fogão,molestias,Electrolux,funciona,50
50,Vossoroca,freezer,aliquid,Gradiente,defeito,120
34,Pacaembu,micro-ondas,minima,Samsung,defeito,60
35,Jd Primavera,ap de som,recusandae,Brastemp,funciona,40
54,Campolim,computador,veniam,Gradiente,defeito,66
56,Centro,ap de som,voluptatum,Electrolux,funciona,40
60,Pacaembu,micro-ondas,perferendis,Brastemp,funciona,100
34,Vossoroca,freezer,nostrum,Brastemp,funciona,200
19,Pacaembu,computador,corporis,Gradiente,funciona,110
27,Centro,micro-ondas,tenetur,Samsung,defeito,60
52,Vossoroca,computador,doloremque,Gradiente,funciona,110
43,Centro,ap de som,possimus,Samsung,defeito,24
21,Centro,computador,rerum,Brastemp,defeito,66
63,Centro,ap de som,saepe,Electrolux,defeito,24
19,Centro,freezer,laboriosam,Gradiente,defeito,120
53,Centro,micro-ondas,culpa,Electrolux,defeito,60
18,Centro,freezer,pariatur,Electrolux,funciona,200
32,Centro,ap de som,nobis,Electrolux,funciona,40
33,Jd Primavera,micro-ondas,facilis,LG,funciona,100
20,Campolim,Fogão,dolorem,Brastemp,funciona,50
34,Vossoroca,computador,error,Brastemp,funciona,110
37,Centro,TV,laborum,Electrolux,defeito,90
34,Campolim,TV,ullam,Gradiente,funciona,150
45,Pacaembu,micro-ondas,eos,Samsung,defeito,60
66,Pacaembu,micro-ondas,possimus,LG,defeito,60
51,Jd Primavera,micro-ondas,sapiente,Brastemp,defeito,60
31,Pacaembu,computador,ullam,Electrolux,funciona,110
53,Centro,ap de som,aperiam,Samsung,funciona,40
30,Jd Primavera,micro-ondas,autem,Samsung,funciona,100
65,Pacaembu,Fogão,pariatur,LG,funciona,50
46,Jd Primavera,micro-ondas,delectus,LG,funciona,100
19,Pacaembu,ap de som,quisquam,Samsung,defeito,24
41,Jd Primavera,freezer,aliquid,Gradiente,funciona,200
52,Centro,ap de som,doloribus,Gradiente,defeito,24
55,Campolim,Fogão,incidunt,Gradiente,defeito,30
59,Campolim,freezer,quis,Brastemp,funciona,200
53,Campolim,Fogão,accusantium,LG,defeito,30
41,Jd Primavera,freezer,reiciendis,LG,funciona,200
42,Centro,micro-ondas,pariatur,Electrolux,defeito,60
33,Vossoroca,TV,error,Brastemp,defeito,90
